Dhoby Ghaut (NE6),6:27 AM,6:14 AM,11:51 PM,12:04 AM,Sunday,HarbourFront (NE1),Punggol (NE17)
Clarke Quay (NE5),6:29 AM,6:11 AM,11:53 PM,12:02 AM,Sunday,HarbourFront (NE1),Punggol (NE17)
Chinatown (NE4),6:31 AM,6:10 AM,11:55 PM,12:00 AM,Sunday,HarbourFront (NE1),Punggol (NE17)
Outram Park (NE3),6:33 AM,6:08 AM,11:58 PM,11:58 PM,Sunday,HarbourFront (NE1),Punggol (NE17)
HarbourFront (NE1),-,6:09 AM,-,11:55 PM,Sunday,HarbourFront (NE1),Punggol (NE17)
Punggol (NE17),,,12:02 AM,-,Eve PH,HarbourFront (NE1),Punggol (NE17)
Sengkang (NE16),,,12:04 AM,12:59 AM,Eve PH,HarbourFront (NE1),Punggol (NE17)
Buangkok (NE15),,,12:06 AM,12:57 AM,Eve PH,HarbourFront (NE1),Punggol (NE17)
Hougang (NE14),,,12:08 AM,12:55 AM,Eve PH,HarbourFront (NE1),Punggol (NE17)
Kovan (NE13),,,12:11 AM,12:53 AM,Eve PH,HarbourFront (NE1),Punggol (NE17)
Serangoon (NE12),,,12:13 AM,12:50 AM,Eve PH,HarbourFront (NE1),Punggol (NE17)
Woodleigh (NE11),,,12:15 AM,12:48 AM,Eve PH,HarbourFront (NE1),Punggol (NE17)
Potong Pasir (NE10),,,12:17 AM,12:46 AM,Eve PH,HarbourFront (NE1),Punggol (NE17)
Boon Keng (NE9),,,12:19 AM,12:44 AM,Eve PH,HarbourFront (NE1),Punggol (NE17)
Farrer Park (NE8),,,12:22 AM,12:42 AM,Eve PH,HarbourFront (NE1),Punggol (NE17)
Little India (NE7),,,12:23 AM,12:40 AM,Eve PH,HarbourFront (NE1),Punggol (NE17)
Dhoby Ghaut (NE6),,,12:25 AM,12:38 AM,Eve PH,HarbourFront (NE1),Punggol (NE17)
Clarke Quay (NE5),,,12:27 AM,12:36 AM,Eve PH,HarbourFront (NE1),Punggol (NE17)
Chinatown (NE4),,,12:29 AM,12:34 AM,Eve PH,HarbourFront (NE1),Punggol (NE17)
Outram Park (NE3),,,12:30 AM,12:32 AM,Eve PH,HarbourFront (NE1),Punggol (NE17)
HarbourFront (NE1),,,-,12:29 AM,Eve PH,HarbourFront (NE1),Punggol (NE17)
